# rank15 plateau-suffix capacity ledger v1
# Every row is derived from the exact profile optimizer.
# t-columns are capacity:margin, with margin = capacity - 218*a; NA means t<W/lambda.
u	e	N	a	lambda	W	c0	t_min	t210	t211	t212	t213	t214	t215	t216	t217	t218	C	argmax_t	margin	classification
1043779	2190	1053373	72268	4796	1007202	328	211	NA	15740439:-13985	15745235:-9189	15745235:-9189	15740884:-13540	15736088:-18336	15736088:-18336	15740884:-13540	15742924:-11500	15745235	212,213	-9189	PROVED_M_LE_217
1043780	2189	1053372	72267	4795	1006998	342	211	NA	15739562:-14644	15744357:-9849	15744357:-9849	15739351:-14855	15734556:-19650	15734556:-19650	15739351:-14855	15741273:-12933	15744357	212,213	-9849	PROVED_M_LE_217
1043781	2188	1053371	72266	4794	1006794	356	211	NA	15738685:-15303	15743479:-10509	15743479:-10509	15737818:-16170	15733024:-20964	15733024:-20964	15737818:-16170	15739621:-14367	15743479	212,213	-10509	PROVED_M_LE_217
1043782	2187	1053370	72265	4793	1006590	370	211	NA	15737808:-15962	15742601:-11169	15742601:-11169	15736285:-17485	15731492:-22278	15731492:-22278	15736285:-17485	15737970:-15800	15742601	212,213	-11169	PROVED_M_LE_217
1043783	2186	1053369	72264	4792	1006386	384	211	NA	15736931:-16621	15741723:-11829	15741723:-11829	15734752:-18800	15729960:-23592	15729960:-23592	15734752:-18800	15736318:-17234	15741723	212,213	-11829	PROVED_M_LE_217
1043784	2185	1053368	72263	4791	1006182	398	211	NA	15736054:-17280	15740845:-12489	15740845:-12489	15733219:-20115	15728428:-24906	15728428:-24906	15733219:-20115	15734666:-18668	15740845	212,213	-12489	PROVED_M_LE_217
1043785	2184	1053367	72262	4790	1005978	412	211	NA	15735177:-17939	15739967:-13149	15739967:-13149	15731686:-21430	15726896:-26220	15726896:-26220	15731686:-21430	15733015:-20101	15739967	212,213	-13149	PROVED_M_LE_217
1043786	2183	1053366	72261	4789	1005774	426	211	NA	15734300:-18598	15739089:-13809	15739089:-13809	15730153:-22745	15725364:-27534	15725364:-27534	15730153:-22745	15731363:-21535	15739089	212,213	-13809	PROVED_M_LE_217
1043787	2182	1053365	72260	4788	1005570	440	211	NA	15733423:-19257	15738211:-14469	15738211:-14469	15728620:-24060	15723832:-28848	15723832:-28848	15728620:-24060	15729712:-22968	15738211	212,213	-14469	PROVED_M_LE_217
1043788	2181	1053364	72259	4787	1005366	454	211	NA	15732546:-19916	15737333:-15129	15737333:-15129	15727087:-25375	15722300:-30162	15722300:-30162	15727087:-25375	15728060:-24402	15737333	212,213	-15129	PROVED_M_LE_217
1043789	2180	1053363	72258	4786	1005162	468	211	NA	15731669:-20575	15736455:-15789	15736455:-15789	15725554:-26690	15720768:-31476	15720768:-31476	15725554:-26690	15726408:-25836	15736455	212,213	-15789	PROVED_M_LE_217
1043790	2179	1053362	72257	4785	1004958	482	211	NA	15730792:-21234	15735577:-16449	15735577:-16449	15724021:-28005	15719236:-32790	15719236:-32790	15724021:-28005	15724757:-27269	15735577	212,213	-16449	PROVED_M_LE_217
1043791	2178	1053361	72256	4784	1004754	496	211	NA	15729915:-21893	15734699:-17109	15734699:-17109	15722488:-29320	15717704:-34104	15717704:-34104	15722488:-29320	15723105:-28703	15734699	212,213	-17109	PROVED_M_LE_217
1043792	2177	1053360	72255	4783	1004550	510	211	NA	15729038:-22552	15733821:-17769	15733821:-17769	15720955:-30635	15716172:-35418	15716172:-35418	15720955:-30635	15721454:-30136	15733821	212,213	-17769	PROVED_M_LE_217
1043793	2176	1053359	72254	4782	1004346	524	211	NA	15728161:-23211	15732943:-18429	15732943:-18429	15719422:-31950	15714640:-36732	15714640:-36732	15719422:-31950	15719802:-31570	15732943	212,213	-18429	PROVED_M_LE_217
1043794	2175	1053358	72253	4781	1004142	538	211	NA	15727284:-23870	15732065:-19089	15732065:-19089	15717889:-33265	15713108:-38046	15713108:-38046	15717889:-33265	15718150:-33004	15732065	212,213	-19089	PROVED_M_LE_217
1043795	2174	1053357	72252	4780	1003938	552	211	NA	15726407:-24529	15731187:-19749	15731187:-19749	15716356:-34580	15711576:-39360	15711576:-39360	15716356:-34580	15716499:-34437	15731187	212,213	-19749	PROVED_M_LE_217
1043796	2173	1053356	72251	4779	1003734	566	211	NA	15725530:-25188	15730309:-20409	15730309:-20409	15714823:-35895	15710044:-40674	15710044:-40674	15714823:-35895	15714847:-35871	15730309	212,213	-20409	PROVED_M_LE_217
1043797	2172	1053355	72250	4778	1003530	580	211	NA	15724653:-25847	15729431:-21069	15729431:-21069	15713290:-37210	15708512:-41988	15708512:-41988	15713290:-37210	15713196:-37304	15729431	212,213	-21069	PROVED_M_LE_217
1043798	2171	1053354	72249	4777	1003326	594	211	NA	15723776:-26506	15728553:-21729	15728553:-21729	15711757:-38525	15706980:-43302	15706980:-43302	15711757:-38525	15711544:-38738	15728553	212,213	-21729	PROVED_M_LE_217
1043799	2170	1053353	72248	4776	1003122	608	211	NA	15722899:-27165	15727675:-22389	15727675:-22389	15710224:-39840	15705448:-44616	15705448:-44616	15710224:-39840	15709892:-40172	15727675	212,213	-22389	PROVED_M_LE_217
1043800	2169	1053352	72247	4775	1002918	622	211	NA	15722022:-27824	15726797:-23049	15726797:-23049	15708691:-41155	15703916:-45930	15703916:-45930	15708691:-41155	15708241:-41605	15726797	212,213	-23049	PROVED_M_LE_217
1043801	2168	1053351	72246	4774	1002714	636	211	NA	15721145:-28483	15725919:-23709	15725919:-23709	15707158:-42470	15702384:-47244	15702384:-47244	15707158:-42470	15706589:-43039	15725919	212,213	-23709	PROVED_M_LE_217
1043802	2167	1053350	72245	4773	1002510	650	211	NA	15720268:-29142	15725041:-24369	15725041:-24369	15705625:-43785	15700852:-48558	15700852:-48558	15705625:-43785	15704938:-44472	15725041	212,213	-24369	PROVED_M_LE_217
1043803	2166	1053349	72244	4772	1002306	664	211	NA	15719391:-29801	15724163:-25029	15724163:-25029	15704092:-45100	15699320:-49872	15699320:-49872	15704092:-45100	15703286:-45906	15724163	212,213	-25029	PROVED_M_LE_217
1043804	2165	1053348	72243	4771	1002102	678	211	NA	15718514:-30460	15723285:-25689	15723285:-25689	15702559:-46415	15697788:-51186	15697788:-51186	15702559:-46415	15701634:-47340	15723285	212,213	-25689	PROVED_M_LE_217
1043805	2164	1053347	72242	4770	1001898	692	211	NA	15717637:-31119	15722407:-26349	15722407:-26349	15701026:-47730	15696256:-52500	15696256:-52500	15701026:-47730	15699983:-48773	15722407	212,213	-26349	PROVED_M_LE_217
1043806	2163	1053346	72241	4769	1001694	706	211	NA	15716760:-31778	15721529:-27009	15721529:-27009	15699493:-49045	15694724:-53814	15694724:-53814	15699493:-49045	15698331:-50207	15721529	212,213	-27009	PROVED_M_LE_217
1043807	2162	1053345	72240	4768	1001490	720	211	NA	15715883:-32437	15720651:-27669	15720651:-27669	15697960:-50360	15693192:-55128	15693192:-55128	15697960:-50360	15696680:-51640	15720651	212,213	-27669	PROVED_M_LE_217
1043808	2161	1053344	72239	4767	1001286	734	211	NA	15715006:-33096	15719773:-28329	15719773:-28329	15696427:-51675	15691660:-56442	15691660:-56442	15696427:-51675	15695028:-53074	15719773	212,213	-28329	PROVED_M_LE_217
1043809	2160	1053343	72238	4766	1001082	748	211	NA	15714129:-33755	15718895:-28989	15718724:-29160	15694894:-52990	15690128:-57756	15690128:-57756	15694894:-52990	15693376:-54508	15718895	212	-28989	PROVED_M_LE_217
1043810	2159	1053342	72237	4765	1000878	762	211	NA	15713252:-34414	15718017:-29649	15717186:-30480	15693361:-54305	15688596:-59070	15688596:-59070	15693361:-54305	15691725:-55941	15718017	212	-29649	PROVED_M_LE_217
1043811	2158	1053341	72236	4764	1000674	776	211	NA	15712375:-35073	15717139:-30309	15715648:-31800	15691828:-55620	15687064:-60384	15687064:-60384	15691828:-55620	15690073:-57375	15717139	212	-30309	PROVED_M_LE_217
1043812	2157	1053340	72235	4763	1000470	790	211	NA	15711498:-35732	15716261:-30969	15714110:-33120	15690295:-56935	15685532:-61698	15685532:-61698	15690295:-56935	15688422:-58808	15716261	212	-30969	PROVED_M_LE_217
1043813	2156	1053339	72234	4762	1000266	804	211	NA	15710621:-36391	15715383:-31629	15712572:-34440	15688762:-58250	15684000:-63012	15684000:-63012	15688762:-58250	15686770:-60242	15715383	212	-31629	PROVED_M_LE_217
1043814	2155	1053338	72233	4761	1000062	818	211	NA	15709744:-37050	15714505:-32289	15711034:-35760	15687229:-59565	15682468:-64326	15682468:-64326	15687229:-59565	15685118:-61676	15714505	212	-32289	PROVED_M_LE_217
1043815	2154	1053337	72232	4760	999858	832	211	NA	15708867:-37709	15713627:-32949	15709496:-37080	15685696:-60880	15680936:-65640	15680936:-65640	15685696:-60880	15683467:-63109	15713627	212	-32949	PROVED_M_LE_217
1043816	2153	1053336	72231	4759	999654	846	211	NA	15707990:-38368	15712749:-33609	15707958:-38400	15684163:-62195	15679404:-66954	15679404:-66954	15684163:-62195	15681815:-64543	15712749	212	-33609	PROVED_M_LE_217
1043817	2152	1053335	72230	4758	999450	860	211	NA	15707113:-39027	15711871:-34269	15706420:-39720	15682630:-63510	15677872:-68268	15677872:-68268	15682630:-63510	15680164:-65976	15711871	212	-34269	PROVED_M_LE_217
1043818	2151	1053334	72229	4757	999246	874	211	NA	15706236:-39686	15710993:-34929	15704882:-41040	15681097:-64825	15676340:-69582	15676340:-69582	15681097:-64825	15678512:-67410	15710993	212	-34929	PROVED_M_LE_217
1043819	2150	1053333	72228	4756	999042	888	211	NA	15705359:-40345	15710115:-35589	15703344:-42360	15679564:-66140	15674808:-70896	15674808:-70896	15679564:-66140	15676860:-68844	15710115	212	-35589	PROVED_M_LE_217
1043820	2149	1053332	72227	4755	998838	902	211	NA	15704482:-41004	15709237:-36249	15701806:-43680	15678031:-67455	15673276:-72210	15673276:-72210	15678031:-67455	15675209:-70277	15709237	212	-36249	PROVED_M_LE_217
1043821	2148	1053331	72226	4754	998634	916	211	NA	15703605:-41663	15708359:-36909	15700268:-45000	15676498:-68770	15671744:-73524	15671744:-73524	15676498:-68770	15673557:-71711	15708359	212	-36909	PROVED_M_LE_217
1043822	2147	1053330	72225	4753	998430	930	211	NA	15702728:-42322	15707481:-37569	15698730:-46320	15674965:-70085	15670212:-74838	15670212:-74838	15674965:-70085	15671906:-73144	15707481	212	-37569	PROVED_M_LE_217
1043823	2146	1053329	72224	4752	998226	944	211	NA	15701851:-42981	15706603:-38229	15697192:-47640	15673432:-71400	15668680:-76152	15668680:-76152	15673432:-71400	15670254:-74578	15706603	212	-38229	PROVED_M_LE_217
1043824	2145	1053328	72223	4751	998022	958	211	NA	15700974:-43640	15705725:-38889	15695654:-48960	15671899:-72715	15667148:-77466	15667148:-77466	15671899:-72715	15668602:-76012	15705725	212	-38889	PROVED_M_LE_217
1043825	2144	1053327	72222	4750	997818	972	211	NA	15700097:-44299	15704847:-39549	15694116:-50280	15670366:-74030	15665616:-78780	15665616:-78780	15670366:-74030	15666951:-77445	15704847	212	-39549	PROVED_M_LE_217
1043826	2143	1053326	72221	4749	997614	986	211	NA	15699220:-44958	15703969:-40209	15692578:-51600	15668833:-75345	15664084:-80094	15664084:-80094	15668833:-75345	15665299:-78879	15703969	212	-40209	PROVED_M_LE_217
1043827	2142	1053325	72220	4748	997410	1000	211	NA	15698343:-45617	15703091:-40869	15691040:-52920	15667300:-76660	15662552:-81408	15662552:-81408	15667300:-76660	15663648:-80312	15703091	212	-40869	PROVED_M_LE_217
1043828	2141	1053324	72219	4747	997206	1014	211	NA	15697466:-46276	15702213:-41529	15689502:-54240	15665767:-77975	15661020:-82722	15661020:-82722	15665767:-77975	15661996:-81746	15702213	212	-41529	PROVED_M_LE_217
1043829	2140	1053323	72218	4746	997002	1028	211	NA	15696589:-46935	15701335:-42189	15687964:-55560	15664234:-79290	15659488:-84036	15659488:-84036	15664234:-79290	15660344:-83180	15701335	212	-42189	PROVED_M_LE_217
1043830	2139	1053322	72217	4745	996798	1042	211	NA	15695712:-47594	15700457:-42849	15686426:-56880	15662701:-80605	15657956:-85350	15657956:-85350	15662701:-80605	15658693:-84613	15700457	212	-42849	PROVED_M_LE_217
1043831	2138	1053321	72216	4744	996594	1056	211	NA	15694835:-48253	15699579:-43509	15685041:-58047	15661168:-81920	15656424:-86664	15656424:-86664	15661168:-81920	15657041:-86047	15699579	212	-43509	PROVED_M_LE_217
1043832	2137	1053320	72215	4743	996390	1070	211	NA	15693958:-48912	15698701:-44169	15683724:-59146	15659635:-83235	15654892:-87978	15654892:-87978	15659635:-83235	15655390:-87480	15698701	212	-44169	PROVED_M_LE_217
1043833	2136	1053319	72214	4742	996186	1084	211	NA	15693081:-49571	15697823:-44829	15682407:-60245	15658102:-84550	15653360:-89292	15653360:-89292	15658102:-84550	15653738:-88914	15697823	212	-44829	PROVED_M_LE_217
1043834	2135	1053318	72213	4741	995982	1098	211	NA	15692204:-50230	15696945:-45489	15681090:-61344	15656569:-85865	15651828:-90606	15651828:-90606	15656569:-85865	15652086:-90348	15696945	212	-45489	PROVED_M_LE_217
1043835	2134	1053317	72212	4740	995778	1112	211	NA	15691327:-50889	15696067:-46149	15679773:-62443	15655036:-87180	15650296:-91920	15650296:-91920	15655036:-87180	15650435:-91781	15696067	212	-46149	PROVED_M_LE_217
1043836	2133	1053316	72211	4739	995574	1126	211	NA	15690450:-51548	15695189:-46809	15678456:-63542	15653503:-88495	15648764:-93234	15648764:-93234	15653503:-88495	15648783:-93215	15695189	212	-46809	PROVED_M_LE_217
1043837	2132	1053315	72210	4738	995370	1140	211	NA	15689573:-52207	15694311:-47469	15677139:-64641	15651970:-89810	15647232:-94548	15647232:-94548	15651970:-89810	15647132:-94648	15694311	212	-47469	PROVED_M_LE_217
1043838	2131	1053314	72209	4737	995166	1154	211	NA	15688696:-52866	15693433:-48129	15675822:-65740	15650437:-91125	15645700:-95862	15645700:-95862	15650437:-91125	15645480:-96082	15693433	212	-48129	PROVED_M_LE_217
1043839	2130	1053313	72208	4736	994962	1168	211	NA	15687819:-53525	15692555:-48789	15674505:-66839	15648904:-92440	15644168:-97176	15644168:-97176	15648904:-92440	15643828:-97516	15692555	212	-48789	PROVED_M_LE_217
1043840	2129	1053312	72207	4735	994758	1182	211	NA	15686942:-54184	15691677:-49449	15673188:-67938	15647371:-93755	15642636:-98490	15642636:-98490	15647371:-93755	15642177:-98949	15691677	212	-49449	PROVED_M_LE_217
1043841	2128	1053311	72206	4734	994554	1196	211	NA	15686065:-54843	15690799:-50109	15671871:-69037	15645838:-95070	15641104:-99804	15641104:-99804	15645838:-95070	15640525:-100383	15690799	212	-50109	PROVED_M_LE_217
1043842	2127	1053310	72205	4733	994350	1210	211	NA	15685188:-55502	15689921:-50769	15670554:-70136	15644305:-96385	15639572:-101118	15639572:-101118	15644305:-96385	15638874:-101816	15689921	212	-50769	PROVED_M_LE_217
1043843	2126	1053309	72204	4732	994146	1224	211	NA	15684311:-56161	15689043:-51429	15669237:-71235	15642772:-97700	15638040:-102432	15638040:-102432	15642772:-97700	15637222:-103250	15689043	212	-51429	PROVED_M_LE_217
1043844	2125	1053308	72203	4731	993942	1238	211	NA	15683434:-56820	15688165:-52089	15667920:-72334	15641239:-99015	15636508:-103746	15636508:-103746	15641239:-99015	15635570:-104684	15688165	212	-52089	PROVED_M_LE_217
1043845	2124	1053307	72202	4730	993738	1252	211	NA	15682557:-57479	15687287:-52749	15666603:-73433	15639706:-100330	15634976:-105060	15634976:-105060	15639706:-100330	15633919:-106117	15687287	212	-52749	PROVED_M_LE_217
1043846	2123	1053306	72201	4729	993534	1266	211	NA	15681680:-58138	15686409:-53409	15665286:-74532	15638173:-101645	15633444:-106374	15633444:-106374	15638173:-101645	15632267:-107551	15686409	212	-53409	PROVED_M_LE_217
1043847	2122	1053305	72200	4728	993330	1280	211	NA	15680803:-58797	15685531:-54069	15663969:-75631	15636640:-102960	15631912:-107688	15631912:-107688	15636640:-102960	15630616:-108984	15685531	212	-54069	PROVED_M_LE_217
1043848	2121	1053304	72199	4727	993126	1294	211	NA	15679926:-59456	15684653:-54729	15662652:-76730	15635107:-104275	15630380:-109002	15630380:-109002	15635107:-104275	15628964:-110418	15684653	212	-54729	PROVED_M_LE_217
1043849	2120	1053303	72198	4726	992922	1308	211	NA	15679049:-60115	15683775:-55389	15661335:-77829	15633574:-105590	15628848:-110316	15628848:-110316	15633574:-105590	15627312:-111852	15683775	212	-55389	PROVED_M_LE_217
1043850	2119	1053302	72197	4725	992718	1322	211	NA	15678172:-60774	15682897:-56049	15660018:-78928	15632041:-106905	15627316:-111630	15627316:-111630	15632041:-106905	15625661:-113285	15682897	212	-56049	PROVED_M_LE_217
1043851	2118	1053301	72196	4724	992514	1336	211	NA	15677295:-61433	15682019:-56709	15658701:-80027	15630508:-108220	15625784:-112944	15625784:-112944	15630508:-108220	15624009:-114719	15682019	212	-56709	PROVED_M_LE_217
1043852	2117	1053300	72195	4723	992310	1350	211	NA	15676418:-62092	15681141:-57369	15662107:-76403	15628975:-109535	15624252:-114258	15624252:-114258	15628975:-109535	15622358:-116152	15681141	212	-57369	PROVED_M_LE_217
1043853	2116	1053299	72194	4722	992106	1364	211	NA	15675541:-62751	15680263:-58029	15660789:-77503	15627442:-110850	15622720:-115572	15622720:-115572	15627442:-110850	15620706:-117586	15680263	212	-58029	PROVED_M_LE_217
1043854	2115	1053298	72193	4721	991902	1378	211	NA	15674664:-63410	15679385:-58689	15659471:-78603	15625909:-112165	15621188:-116886	15621188:-116886	15625909:-112165	15619054:-119020	15679385	212	-58689	PROVED_M_LE_217
1043855	2114	1053297	72192	4720	991698	1392	211	NA	15673787:-64069	15678507:-59349	15658153:-79703	15624376:-113480	15619656:-118200	15619656:-118200	15624376:-113480	15617403:-120453	15678507	212	-59349	PROVED_M_LE_217
1043856	2113	1053296	72191	4719	991494	1406	211	NA	15672910:-64728	15677629:-60009	15656835:-80803	15622843:-114795	15618124:-119514	15618124:-119514	15622843:-114795	15615751:-121887	15677629	212	-60009	PROVED_M_LE_217
1043857	2112	1053295	72190	4718	991290	1420	211	NA	15672033:-65387	15676751:-60669	15655517:-81903	15621310:-116110	15616592:-120828	15616592:-120828	15621310:-116110	15614100:-123320	15676751	212	-60669	PROVED_M_LE_217
1043858	2111	1053294	72189	4717	991086	1434	211	NA	15671156:-66046	15675873:-61329	15654199:-83003	15619777:-117425	15615060:-122142	15615060:-122142	15619777:-117425	15612448:-124754	15675873	212	-61329	PROVED_M_LE_217
1043859	2110	1053293	72188	4716	990882	1448	211	NA	15670279:-66705	15674995:-61989	15652881:-84103	15618244:-118740	15613528:-123456	15613528:-123456	15618244:-118740	15610796:-126188	15674995	212	-61989	PROVED_M_LE_217
1043860	2109	1053292	72187	4715	990678	1462	211	NA	15669402:-67364	15674117:-62649	15651563:-85203	15616711:-120055	15611996:-124770	15611996:-124770	15616711:-120055	15609145:-127621	15674117	212	-62649	PROVED_M_LE_217
1043861	2108	1053291	72186	4714	990474	1476	211	NA	15668525:-68023	15673239:-63309	15650245:-86303	15615178:-121370	15610464:-126084	15610464:-126084	15615178:-121370	15607493:-129055	15673239	212	-63309	PROVED_M_LE_217
1043862	2107	1053290	72185	4713	990270	1490	211	NA	15667648:-68682	15672361:-63969	15648927:-87403	15613645:-122685	15608932:-127398	15608932:-127398	15613645:-122685	15605842:-130488	15672361	212	-63969	PROVED_M_LE_217
1043863	2106	1053289	72184	4712	990066	1504	211	NA	15666771:-69341	15671483:-64629	15647609:-88503	15612112:-124000	15607400:-128712	15607400:-128712	15612112:-124000	15604190:-131922	15671483	212	-64629	PROVED_M_LE_217
1043864	2105	1053288	72183	4711	989862	1518	211	NA	15665894:-70000	15670605:-65289	15646291:-89603	15610579:-125315	15605868:-130026	15605868:-130026	15610579:-125315	15602538:-133356	15670605	212	-65289	PROVED_M_LE_217
1043865	2104	1053287	72182	4710	989658	1532	211	NA	15665017:-70659	15669727:-65949	15644973:-90703	15609046:-126630	15604336:-131340	15604336:-131340	15609046:-126630	15600887:-134789	15669727	212	-65949	PROVED_M_LE_217
1043866	2103	1053286	72181	4709	989454	1546	211	NA	15664140:-71318	15668849:-66609	15643655:-91803	15607513:-127945	15602804:-132654	15602804:-132654	15607513:-127945	15599235:-136223	15668849	212	-66609	PROVED_M_LE_217
1043867	2102	1053285	72180	4708	989250	1560	211	NA	15663263:-71977	15667971:-67269	15642337:-92903	15605980:-129260	15601272:-133968	15601272:-133968	15605980:-129260	15597584:-137656	15667971	212	-67269	PROVED_M_LE_217
1043868	2101	1053284	72179	4707	989046	1574	211	NA	15662386:-72636	15667093:-67929	15641019:-94003	15604447:-130575	15599740:-135282	15599740:-135282	15604447:-130575	15595932:-139090	15667093	212	-67929	PROVED_M_LE_217
1043869	2100	1053283	72178	4706	988842	1588	211	NA	15661509:-73295	15666215:-68589	15639701:-95103	15602914:-131890	15598208:-136596	15598208:-136596	15602914:-131890	15594280:-140524	15666215	212	-68589	PROVED_M_LE_217
1043870	2099	1053282	72177	4705	988638	1602	211	NA	15660632:-73954	15665337:-69249	15638383:-96203	15601381:-133205	15596676:-137910	15596676:-137910	15601381:-133205	15592629:-141957	15665337	212	-69249	PROVED_M_LE_217
1043871	2098	1053281	72176	4704	988434	1616	211	NA	15659755:-74613	15664459:-69909	15637065:-97303	15599848:-134520	15595144:-139224	15595144:-139224	15599848:-134520	15590977:-143391	15664459	212	-69909	PROVED_M_LE_217
1043872	2097	1053280	72175	4703	988230	1630	211	NA	15658878:-75272	15663581:-70569	15635747:-98403	15598315:-135835	15593612:-140538	15593612:-140538	15598315:-135835	15589326:-144824	15663581	212	-70569	PROVED_M_LE_217
1043873	2096	1053279	72174	4702	988026	1644	211	NA	15658001:-75931	15662703:-71229	15639162:-94770	15596782:-137150	15592080:-141852	15592080:-141852	15596782:-137150	15587674:-146258	15662703	212	-71229	PROVED_M_LE_217
1043874	2095	1053278	72173	4701	987822	1658	211	NA	15657124:-76590	15661825:-71889	15638066:-95648	15595249:-138465	15590548:-143166	15590548:-143166	15595249:-138465	15586022:-147692	15661825	212	-71889	PROVED_M_LE_217
1043875	2094	1053277	72172	4700	987618	1672	211	NA	15656247:-77249	15660947:-72549	15636970:-96526	15593716:-139780	15589016:-144480	15589016:-144480	15593716:-139780	15584371:-149125	15660947	212	-72549	PROVED_M_LE_217
1043876	2093	1053276	72171	4699	987414	1686	211	NA	15655370:-77908	15660069:-73209	15635874:-97404	15592183:-141095	15587484:-145794	15587484:-145794	15592183:-141095	15582719:-150559	15660069	212	-73209	PROVED_M_LE_217
1043877	2092	1053275	72170	4698	987210	1700	211	NA	15654493:-78567	15659191:-73869	15634778:-98282	15590650:-142410	15585952:-147108	15585952:-147108	15590650:-142410	15581068:-151992	15659191	212	-73869	PROVED_M_LE_217
1043878	2091	1053274	72169	4697	987006	1714	211	NA	15653616:-79226	15658313:-74529	15633682:-99160	15589117:-143725	15584420:-148422	15584420:-148422	15589117:-143725	15579416:-153426	15658313	212	-74529	PROVED_M_LE_217
1043879	2090	1053273	72168	4696	986802	1728	211	NA	15652739:-79885	15657435:-75189	15632586:-100038	15587584:-145040	15582888:-149736	15582888:-149736	15587584:-145040	15577764:-154860	15657435	212	-75189	PROVED_M_LE_217
1043880	2089	1053272	72167	4695	986598	1742	211	NA	15651862:-80544	15656557:-75849	15631490:-100916	15586051:-146355	15581356:-151050	15581356:-151050	15586051:-146355	15576113:-156293	15656557	212	-75849	PROVED_M_LE_217
1043881	2088	1053271	72166	4694	986394	1756	211	NA	15650985:-81203	15655679:-76509	15630394:-101794	15584518:-147670	15579824:-152364	15579824:-152364	15584518:-147670	15574461:-157727	15655679	212	-76509	PROVED_M_LE_217
1043882	2087	1053270	72165	4693	986190	1770	211	NA	15650108:-81862	15654801:-77169	15629298:-102672	15582985:-148985	15578292:-153678	15578292:-153678	15582985:-148985	15572810:-159160	15654801	212	-77169	PROVED_M_LE_217
1043883	2086	1053269	72164	4692	985986	1784	211	NA	15649231:-82521	15653923:-77829	15628202:-103550	15581452:-150300	15576760:-154992	15576760:-154992	15581452:-150300	15571158:-160594	15653923	212	-77829	PROVED_M_LE_217
1043884	2085	1053268	72163	4691	985782	1798	211	NA	15648354:-83180	15653045:-78489	15627106:-104428	15579919:-151615	15575228:-156306	15575228:-156306	15579919:-151615	15569506:-162028	15653045	212	-78489	PROVED_M_LE_217
1043885	2084	1053267	72162	4690	985578	1812	211	NA	15647477:-83839	15652167:-79149	15626010:-105306	15578386:-152930	15573696:-157620	15573696:-157620	15578386:-152930	15567855:-163461	15652167	212	-79149	PROVED_M_LE_217
1043886	2083	1053266	72161	4689	985374	1826	211	NA	15646600:-84498	15651289:-79809	15624914:-106184	15576853:-154245	15572164:-158934	15572164:-158934	15576853:-154245	15566203:-164895	15651289	212	-79809	PROVED_M_LE_217
1043887	2082	1053265	72160	4688	985170	1840	211	NA	15645723:-85157	15650411:-80469	15623818:-107062	15575320:-155560	15570632:-160248	15570632:-160248	15575320:-155560	15564552:-166328	15650411	212	-80469	PROVED_M_LE_217
1043888	2081	1053264	72159	4687	984966	1854	211	NA	15644846:-85816	15649533:-81129	15622722:-107940	15573787:-156875	15569100:-161562	15569100:-161562	15573787:-156875	15562900:-167762	15649533	212	-81129	PROVED_M_LE_217
1043889	2080	1053263	72158	4686	984762	1868	211	NA	15643969:-86475	15648655:-81789	15621626:-108818	15572254:-158190	15567568:-162876	15567568:-162876	15572254:-158190	15561248:-169196	15648655	212	-81789	PROVED_M_LE_217
1043890	2079	1053262	72157	4685	984558	1882	211	NA	15643092:-87134	15647777:-82449	15620530:-109696	15570721:-159505	15566036:-164190	15566036:-164190	15570721:-159505	15559597:-170629	15647777	212	-82449	PROVED_M_LE_217
1043891	2078	1053261	72156	4684	984354	1896	211	NA	15642215:-87793	15646899:-83109	15619434:-110574	15569188:-160820	15564504:-165504	15564504:-165504	15569188:-160820	15557945:-172063	15646899	212	-83109	PROVED_M_LE_217
1043892	2077	1053260	72155	4683	984150	1910	211	NA	15641338:-88452	15646021:-83769	15618338:-111452	15567655:-162135	15562972:-166818	15562972:-166818	15567655:-162135	15556294:-173496	15646021	212	-83769	PROVED_M_LE_217
1043893	2076	1053259	72154	4682	983946	1924	211	NA	15640461:-89111	15645143:-84429	15617242:-112330	15566122:-163450	15561440:-168132	15561440:-168132	15566122:-163450	15554642:-174930	15645143	212	-84429	PROVED_M_LE_217
1043894	2075	1053258	72153	4681	983742	1938	211	NA	15639584:-89770	15644166:-85188	15616080:-113274	15573984:-155370	15559908:-169446	15559908:-169446	15564589:-164765	15552990:-176364	15644166	212	-85188	PROVED_M_LE_217
1043895	2074	1053257	72152	4680	983538	1952	211	NA	15638707:-90429	15642616:-86520	15614536:-114600	15572673:-156463	15558376:-170760	15558376:-170760	15563056:-166080	15551339:-177797	15642616	212	-86520	PROVED_M_LE_217
1043896	2073	1053256	72151	4679	983334	1966	211	NA	15637830:-91088	15641066:-87852	15612992:-115926	15571362:-157556	15556844:-172074	15556844:-172074	15561523:-167395	15549687:-179231	15641066	212	-87852	PROVED_M_LE_217
1043897	2072	1053255	72150	4678	983130	1980	211	NA	15636953:-91747	15639516:-89184	15611448:-117252	15570051:-158649	15555312:-173388	15555312:-173388	15559990:-168710	15548036:-180664	15639516	212	-89184	PROVED_M_LE_217
1043898	2071	1053254	72149	4677	982926	1994	211	NA	15636076:-92406	15637966:-90516	15609904:-118578	15568740:-159742	15553780:-174702	15553780:-174702	15558457:-170025	15546384:-182098	15637966	212	-90516	PROVED_M_LE_217
1043899	2070	1053253	72148	4676	982722	2008	211	NA	15635199:-93065	15636416:-91848	15608360:-119904	15567429:-160835	15552248:-176016	15552248:-176016	15556924:-171340	15544732:-183532	15636416	212	-91848	PROVED_M_LE_217
