# rank15 plateau-suffix capacity ledger v1
# Every row is derived from the exact profile optimizer.
# t-columns are capacity:margin, with margin = capacity - 218*a; NA means t<W/lambda.
u	e	N	a	lambda	W	c0	t_min	t210	t211	t212	t213	t214	t215	t216	t217	t218	C	argmax_t	margin	classification
1043621	2348	1053531	72426	4954	1039434	-1884	210	15789774:906	15794728:5860	15799682:10814	15802965:14097	15802965:14097	15802965:14097	15802965:14097	15802965:14097	15802965:14097	15802965	213,214,215,216,217,218	14097	RESIDUAL_M218
1043622	2347	1053530	72425	4953	1039230	-1870	210	15789550:900	15794503:5853	15799456:10806	15802950:14300	15802950:14300	15802950:14300	15802950:14300	15802950:14300	15802950:14300	15802950	213,214,215,216,217,218	14300	RESIDUAL_M218
1043623	2346	1053529	72424	4952	1039026	-1856	210	15789326:894	15794278:5846	15799230:10798	15802935:14503	15802935:14503	15802935:14503	15802935:14503	15802935:14503	15802935:14503	15802935	213,214,215,216,217,218	14503	RESIDUAL_M218
1043624	2345	1053528	72423	4951	1038822	-1842	210	15789102:888	15794053:5839	15799004:10790	15802920:14706	15802920:14706	15802920:14706	15802920:14706	15802920:14706	15802920:14706	15802920	213,214,215,216,217,218	14706	RESIDUAL_M218
1043625	2344	1053527	72422	4950	1038618	-1828	210	15788878:882	15793828:5832	15798778:10782	15802905:14909	15802905:14909	15802905:14909	15802905:14909	15802905:14909	15802905:14909	15802905	213,214,215,216,217,218	14909	RESIDUAL_M218
1043626	2343	1053526	72421	4949	1038414	-1814	210	15788654:876	15793603:5825	15798552:10774	15802890:15112	15802890:15112	15802890:15112	15802890:15112	15802890:15112	15802890:15112	15802890	213,214,215,216,217,218	15112	RESIDUAL_M218
1043627	2342	1053525	72420	4948	1038210	-1800	210	15788430:870	15793378:5818	15798326:10766	15802875:15315	15802875:15315	15802875:15315	15802875:15315	15802875:15315	15802875:15315	15802875	213,214,215,216,217,218	15315	RESIDUAL_M218
1043628	2341	1053524	72419	4947	1038006	-1786	210	15788206:864	15793153:5811	15798100:10758	15802860:15518	15802860:15518	15802860:15518	15802860:15518	15802860:15518	15802860:15518	15802860	213,214,215,216,217,218	15518	RESIDUAL_M218
1043629	2340	1053523	72418	4946	1037802	-1772	210	15787982:858	15792928:5804	15797874:10750	15802820:15696	15802845:15721	15802845:15721	15802845:15721	15802845:15721	15802845:15721	15802845	214,215,216,217,218	15721	RESIDUAL_M218
1043630	2339	1053522	72417	4945	1037598	-1758	210	15787758:852	15792703:5797	15797648:10742	15802593:15687	15802830:15924	15802830:15924	15802830:15924	15802830:15924	15802830:15924	15802830	214,215,216,217,218	15924	RESIDUAL_M218
1043631	2338	1053521	72416	4944	1037394	-1744	210	15787534:846	15792478:5790	15797422:10734	15802366:15678	15802815:16127	15802815:16127	15802815:16127	15802815:16127	15802815:16127	15802815	214,215,216,217,218	16127	RESIDUAL_M218
1043632	2337	1053520	72415	4943	1037190	-1730	210	15787310:840	15792253:5783	15797196:10726	15802139:15669	15802800:16330	15802800:16330	15802800:16330	15802800:16330	15802800:16330	15802800	214,215,216,217,218	16330	RESIDUAL_M218
1043633	2336	1053519	72414	4942	1036986	-1716	210	15787086:834	15792028:5776	15796970:10718	15801912:15660	15802785:16533	15802785:16533	15802785:16533	15802785:16533	15802785:16533	15802785	214,215,216,217,218	16533	RESIDUAL_M218
1043634	2335	1053518	72413	4941	1036782	-1702	210	15786862:828	15791803:5769	15796744:10710	15801685:15651	15802770:16736	15802770:16736	15802770:16736	15802770:16736	15802770:16736	15802770	214,215,216,217,218	16736	RESIDUAL_M218
1043635	2334	1053517	72412	4940	1036578	-1688	210	15786638:822	15791578:5762	15796518:10702	15801458:15642	15802755:16939	15802755:16939	15802755:16939	15802755:16939	15802755:16939	15802755	214,215,216,217,218	16939	RESIDUAL_M218
1043636	2333	1053516	72411	4939	1036374	-1674	210	15786414:816	15791353:5755	15796292:10694	15801231:15633	15802740:17142	15802740:17142	15802740:17142	15802740:17142	15802740:17142	15802740	214,215,216,217,218	17142	RESIDUAL_M218
1043637	2332	1053515	72410	4938	1036170	-1660	210	15786190:810	15791128:5748	15796066:10686	15801004:15624	15802725:17345	15802725:17345	15802725:17345	15802725:17345	15802725:17345	15802725	214,215,216,217,218	17345	RESIDUAL_M218
1043638	2331	1053514	72409	4937	1035966	-1646	210	15785966:804	15790903:5741	15795840:10678	15800777:15615	15802710:17548	15802710:17548	15802710:17548	15802710:17548	15802710:17548	15802710	214,215,216,217,218	17548	RESIDUAL_M218
1043639	2330	1053513	72408	4936	1035762	-1632	210	15785742:798	15790678:5734	15795614:10670	15800550:15606	15802695:17751	15802695:17751	15802695:17751	15802695:17751	15802695:17751	15802695	214,215,216,217,218	17751	RESIDUAL_M218
1043640	2329	1053512	72407	4935	1035558	-1618	210	15785518:792	15790453:5727	15795388:10662	15800323:15597	15802680:17954	15802680:17954	15802680:17954	15802680:17954	15802680:17954	15802680	214,215,216,217,218	17954	RESIDUAL_M218
1043641	2328	1053511	72406	4934	1035354	-1604	210	15785294:786	15790228:5720	15795162:10654	15800096:15588	15802665:18157	15802665:18157	15802665:18157	15802665:18157	15802665:18157	15802665	214,215,216,217,218	18157	RESIDUAL_M218
1043642	2327	1053510	72405	4933	1035150	-1590	210	15785070:780	15790003:5713	15794936:10646	15799869:15579	15802650:18360	15802650:18360	15802650:18360	15802650:18360	15802650:18360	15802650	214,215,216,217,218	18360	RESIDUAL_M218
1043643	2326	1053509	72404	4932	1034946	-1576	210	15784846:774	15789778:5706	15794710:10638	15799642:15570	15802635:18563	15802635:18563	15802635:18563	15802635:18563	15802635:18563	15802635	214,215,216,217,218	18563	RESIDUAL_M218
1043644	2325	1053508	72403	4931	1034742	-1562	210	15784622:768	15789553:5699	15794484:10630	15799415:15561	15802620:18766	15802620:18766	15802620:18766	15802620:18766	15802620:18766	15802620	214,215,216,217,218	18766	RESIDUAL_M218
1043645	2324	1053507	72402	4930	1034538	-1548	210	15784398:762	15789328:5692	15794258:10622	15799188:15552	15802605:18969	15802605:18969	15802605:18969	15802605:18969	15802605:18969	15802605	214,215,216,217,218	18969	RESIDUAL_M218
1043646	2323	1053506	72401	4929	1034334	-1534	210	15784174:756	15789103:5685	15794032:10614	15798961:15543	15802590:19172	15802590:19172	15802590:19172	15802590:19172	15802590:19172	15802590	214,215,216,217,218	19172	RESIDUAL_M218
1043647	2322	1053505	72400	4928	1034130	-1520	210	15783950:750	15788878:5678	15793806:10606	15798734:15534	15802575:19375	15802575:19375	15802575:19375	15802575:19375	15802575:19375	15802575	214,215,216,217,218	19375	RESIDUAL_M218
1043648	2321	1053504	72399	4927	1033926	-1506	210	15783726:744	15788653:5671	15793580:10598	15798507:15525	15802560:19578	15802560:19578	15802560:19578	15802560:19578	15802560:19578	15802560	214,215,216,217,218	19578	RESIDUAL_M218
1043649	2320	1053503	72398	4926	1033722	-1492	210	15783502:738	15788428:5664	15793354:10590	15798280:15516	15802545:19781	15802545:19781	15802545:19781	15802545:19781	15802545:19781	15802545	214,215,216,217,218	19781	RESIDUAL_M218
1043650	2319	1053502	72397	4925	1033518	-1478	210	15783278:732	15788203:5657	15793128:10582	15798053:15507	15802530:19984	15802530:19984	15802530:19984	15802530:19984	15802530:19984	15802530	214,215,216,217,218	19984	RESIDUAL_M218
1043651	2318	1053501	72396	4924	1033314	-1464	210	15783054:726	15787978:5650	15792902:10574	15797826:15498	15802515:20187	15802515:20187	15802515:20187	15802515:20187	15802515:20187	15802515	214,215,216,217,218	20187	RESIDUAL_M218
1043652	2317	1053500	72395	4923	1033110	-1450	210	15782830:720	15787753:5643	15792676:10566	15797599:15489	15802500:20390	15802500:20390	15802500:20390	15802500:20390	15802500:20390	15802500	214,215,216,217,218	20390	RESIDUAL_M218
1043653	2316	1053499	72394	4922	1032906	-1436	210	15782606:714	15787528:5636	15792450:10558	15797372:15480	15802294:20402	15802485:20593	15802485:20593	15802485:20593	15802485:20593	15802485	215,216,217,218	20593	RESIDUAL_M218
1043654	2315	1053498	72393	4921	1032702	-1422	210	15782382:708	15787303:5629	15792224:10550	15797145:15471	15802066:20392	15802470:20796	15802470:20796	15802470:20796	15802470:20796	15802470	215,216,217,218	20796	RESIDUAL_M218
